partner_id,lender_name,loan_theme_type,country,region,number_of_loans,loaned_amount_for_theme_region_combo
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Banteay Meanchey,1,450
9,KREDIT Microfinance Institution,Vulnerable Populations,Cambodia,Battambang Province,58,20275
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Battambang Province,7,9150
9,KREDIT Microfinance Institution,Vulnerable Populations,Cambodia,Kampong Cham Province,1383,604950
9,KREDIT Microfinance Institution,Sanitation,Cambodia,Kampong Cham Province,3,275
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Kampong Cham Province,36,62225
9,KREDIT Microfinance Institution,Solar Home Systems,Cambodia,Kampong Cham Province,2,1300
9,KREDIT Microfinance Institution,General,Cambodia,Kampong Chhnang Province,249,237175
9,KREDIT Microfinance Institution,Solar Home Systems,Cambodia,Kampong Chhnang Province,7,3050
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Kampong Chhnang Province,18,31425
9,KREDIT Microfinance Institution,Vulnerable Populations,Cambodia,Kampong Chhnang Province,890,323950
9,KREDIT Microfinance Institution,Sanitation,Cambodia,Kampong Chhnang Province,1,1000
9,KREDIT Microfinance Institution,Sanitation,Cambodia,Kampong Speu Province,1,1000
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Kampong Speu Province,10,15625
9,KREDIT Microfinance Institution,General,Cambodia,Kampong Speu Province,19,20925
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Kampot Province,11,18650
9,KREDIT Microfinance Institution,General,Cambodia,Kandal Province,13,17025
9,KREDIT Microfinance Institution,Vulnerable Populations,Cambodia,Kandal Province,156,68075
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Kandal Province,31,63250
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Kratie Province,7,15650
9,KREDIT Microfinance Institution,Vulnerable Populations,Cambodia,Kratie Province,704,303275
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Phnom Penh,55,39275
9,KREDIT Microfinance Institution,General,Cambodia,Prey Veng Province,1,200
9,KREDIT Microfinance Institution,Vulnerable Populations,Cambodia,Prey Veng Province,1262,542350
9,KREDIT Microfinance Institution,Solar Home Systems,Cambodia,Prey Veng Province,8,4500
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Prey Veng Province,52,109050
9,KREDIT Microfinance Institution,Solar Home Systems,Cambodia,Pursat Province,1,450
9,KREDIT Microfinance Institution,General,Cambodia,Pursat Province,1,1500
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Pursat Province,9,8600
9,KREDIT Microfinance Institution,Vulnerable Populations,Cambodia,Pursat Province,5,1850
9,KREDIT Microfinance Institution,General,Cambodia,Siem Reap Province,8,8700
9,KREDIT Microfinance Institution,Vulnerable Populations,Cambodia,Siem Reap Province,1,500
9,KREDIT Microfinance Institution,Solar Home Systems,Cambodia,Siem Reap Province,7,2775
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Siem Reap Province,29,22575
9,KREDIT Microfinance Institution,Sanitation,Cambodia,Siem Reap Province,1,500
