country,region,world_region,MPI
Afghanistan,Badakhshan,South Asia,0.387
Afghanistan,Badghis,South Asia,0.466
Afghanistan,Baghlan,South Asia,0.3
Afghanistan,Balkh,South Asia,0.301
Afghanistan,Bamyan,South Asia,0.325
Afghanistan,Daykundi,South Asia,0.313
Afghanistan,Farah,South Asia,0.319
Afghanistan,Faryab,South Asia,0.25
Afghanistan,Ghazni,South Asia,0.245
Afghanistan,Ghor,South Asia,0.384
Afghanistan,Helmand,South Asia,0.261
Afghanistan,Herat,South Asia,0.353
Afghanistan,Jawzjan,South Asia,0.293
Afghanistan,Kabul,South Asia,0.117
Afghanistan,Kandahar,South Asia,0.437
Afghanistan,Kapisa,South Asia,0.28
Afghanistan,Khost,South Asia,0.296
Afghanistan,Kunarha,South Asia,0.269
Afghanistan,Kunduz,South Asia,0.294
Afghanistan,Laghman,South Asia,0.369
Afghanistan,Logar,South Asia,0.187
Afghanistan,Nangarhar,South Asia,0.287
Afghanistan,Nimroz,South Asia,0.231
Afghanistan,Nooristan,South Asia,0.611
Afghanistan,Paktika,South Asia,0.137
Afghanistan,Paktya,South Asia,0.218
Afghanistan,Panjsher,South Asia,0.12
Afghanistan,Parwan,South Asia,0.294
Afghanistan,Samangan,South Asia,0.35
Afghanistan,Sar-E-Pul,South Asia,0.341
Afghanistan,Takhar,South Asia,0.361
Afghanistan,Urozgan,South Asia,0.624
Afghanistan,Wardak,South Asia,0.34
Afghanistan,Zabul,South Asia,0.175
Albania,,Europe and Central Asia,0.387
Armenia,,Europe and Central Asia,0.466
Azerbaijan,,Europe and Central Asia,0.3
Burundi,Bujumbura Mairie,Sub-Saharan Africa,0.301
Burundi,Nord,Sub-Saharan Africa,0.325
Burundi,Centre-Est,Sub-Saharan Africa,0.313
Burundi,Ouest,Sub-Saharan Africa,0.319
Burundi,Sud,Sub-Saharan Africa,0.25
Benin,Alibori,Sub-Saharan Africa,0.245
Benin,Atacora,Sub-Saharan Africa,0.384
Benin,Atlantique,Sub-Saharan Africa,0.261
Benin,Borgou,Sub-Saharan Africa,0.353
Benin,Collines,Sub-Saharan Africa,0.293
Benin,Couffo,Sub-Saharan Africa,0.117
Benin,Donga,Sub-Saharan Africa,0.437
Benin,Littoral,Sub-Saharan Africa,0.28
Benin,Mono,Sub-Saharan Africa,0.296
Benin,Ouðmð,Sub-Saharan Africa,0.269
Benin,Plateau,Sub-Saharan Africa,0.294
Benin,Zou,Sub-Saharan Africa,0.369
Burkina Faso,Boucle de mouhoun,Sub-Saharan Africa,0.187
Burkina Faso,Cascades,Sub-Saharan Africa,0.287
Burkina Faso,Centre,Sub-Saharan Africa,0.231
Burkina Faso,Centre-est,Sub-Saharan Africa,0.611
Burkina Faso,Centre-nord,Sub-Saharan Africa,0.137
Burkina Faso,Centre-ouest,Sub-Saharan Africa,0.218
Burkina Faso,Centre-sud,Sub-Saharan Africa,0.12
Burkina Faso,Est,Sub-Saharan Africa,0.294
Burkina Faso,Hauts basins,Sub-Saharan Africa,0.35
Burkina Faso,Nord,Sub-Saharan Africa,0.341
Burkina Faso,Plateau central,Sub-Saharan Africa,0.524
Burkina Faso,Sahel,Sub-Saharan Africa,0.69
Burkina Faso,Sud-ouest,Sub-Saharan Africa,0.655
Bangladesh,Barisal,South Asia,0.224
Bangladesh,Chittagong,South Asia,0.186
Bangladesh,Dhaka,South Asia,0.174
Bangladesh,Khulna,South Asia,0.156
Bangladesh,Rajshahi,South Asia,0.192
Bangladesh,Rangpur,South Asia,0.206
Bangladesh,Sylhet,South Asia,0.32
Bosnia and Herzegovina,,Europe and Central Asia,0.301
Belize,Corozal,Latin America and Caribbean,0.325
Belize,Orange Walk,Latin America and Caribbean,0.313
Belize,Belize (excluding Belize City South Side),Latin America and Caribbean,0.319
Belize,Stann Creek,Latin America and Caribbean,0.25
Belize,Toledo,Latin America and Caribbean,0.245
Belize,Cayo,Latin America and Caribbean,0.384
Belize,Belize City South Side,Latin America and Caribbean,0.261
"Bolivia, Plurinational State of",Chuquisaca,Latin America and Caribbean,0.353
"Bolivia, Plurinational State of",La Paz,Latin America and Caribbean,0.293
"Bolivia, Plurinational State of",Cochabamba,Latin America and Caribbean,0.117
"Bolivia, Plurinational State of",Oruro,Latin America and Caribbean,0.437
"Bolivia, Plurinational State of",Potosð,Latin America and Caribbean,0.28
"Bolivia, Plurinational State of",Tarija,Latin America and Caribbean,0.296
"Bolivia, Plurinational State of",Santa Cruz,Latin America and Caribbean,0.269
"Bolivia, Plurinational State of",Beni,Latin America and Caribbean,0.294
"Bolivia, Plurinational State of",Pando,Latin America and Caribbean,0.087
Brazil,Acre,Latin America and Caribbean,0.072
Brazil,Alagoas,Latin America and Caribbean,0.042
Brazil,Amapð,Latin America and Caribbean,0.022
Brazil,Amazonas,Latin America and Caribbean,0.044
Brazil,Bahia,Latin America and Caribbean,0.029
Brazil,Cearð,Latin America and Caribbean,0.029
Brazil,Distrito Federal,Latin America and Caribbean,0.008
Brazil,Espðrito Santo,Latin America and Caribbean,0.018
Brazil,Goiðs,Latin America and Caribbean,0.017
Brazil,Maranhðo,Latin America and Caribbean,0.046
Brazil,Mato Grosso,Latin America and Caribbean,0.019
Brazil,Mato Grosso do Sul,Latin America and Caribbean,0.019
Brazil,Minas Gerais,Latin America and Caribbean,0.021
Brazil,Paranð,Latin America and Caribbean,0.016
Brazil,Paraðba,Latin America and Caribbean,0.032
Brazil,Parð,Latin America and Caribbean,0.035
Brazil,Pernambuco,Latin America and Caribbean,0.027
Brazil,Piauð,Latin America and Caribbean,0.039
Brazil,Rio Grande do Norte,Latin America and Caribbean,0.03
Brazil,Rio Grande do Sul,Latin America and Caribbean,0.012
Brazil,Rio de Janeiro,Latin America and Caribbean,0.011
Brazil,Rondðnia,Latin America and Caribbean,0.024
Brazil,Roraima,Latin America and Caribbean,0.029
Brazil,Santa Catarina,Latin America and Caribbean,0.019
Brazil,Sergipe,Latin America and Caribbean,0.034
Brazil,Sðo Paulo,Latin America and Caribbean,0.012
Brazil,Tocantins,Latin America and Caribbean,0.03
Barbados,,Latin America and Caribbean,0.611
Bhutan,Bumthang,South Asia,0.137
Bhutan,Chukha,South Asia,0.218
Bhutan,Dagana,South Asia,0.12
Bhutan,Haa,South Asia,0.294
Bhutan,Lhuntse,South Asia,0.35
Bhutan,Mongar,South Asia,0.341
Bhutan,Paro,South Asia,0.026
Bhutan,Pemagatshel,South Asia,0.128
Bhutan,Punakha,South Asia,0.088
Bhutan,Samdrup Jongkhar,South Asia,0.149
Bhutan,Samtse,South Asia,0.197
Bhutan,Sarpang,South Asia,0.102
Bhutan,Thimphu,South Asia,0.016
Bhutan,Trashigang,South Asia,0.132
Bhutan,Trashiyangtse,South Asia,0.121
Bhutan,Trongsa,South Asia,0.148
Bhutan,Tsirang,South Asia,0.196
Bhutan,Wangdi,South Asia,0.099
Bhutan,Zhemgang,South Asia,0.184
Central African Republic,Ombella-M'poko,Sub-Saharan Africa,0.403
Central African Republic,Lobaye,Sub-Saharan Africa,0.494
Central African Republic,Mambðrð-Kadði,Sub-Saharan Africa,0.497
Central African Republic,Nana-Mambðrð,Sub-Saharan Africa,0.52
Central African Republic,Sangha-Mbaðrð,Sub-Saharan Africa,0.505
Central African Republic,Ouham-Pendð,Sub-Saharan Africa,0.479
Central African Republic,Ouham,Sub-Saharan Africa,0.533
Central African Republic,Kðmo,Sub-Saharan Africa,0.501
Central African Republic,Nana-Grðbizi,Sub-Saharan Africa,0.419
Central African Republic,Ouaka,Sub-Saharan Africa,0.471
Central African Republic,Haute-Kotto,Sub-Saharan Africa,0.42
Central African Republic,Bamingui-Bangoran,Sub-Saharan Africa,0.364
Central African Republic,Basse-Kotto,Sub-Saharan Africa,0.544
Central African Republic,Mbomou,Sub-Saharan Africa,0.491
Central African Republic,Haut-Mbomou,Sub-Saharan Africa,0.418
Central African Republic,Bangui,Sub-Saharan Africa,0.197
China,East,East Asia and the Pacific,0.008
China,Central,East Asia and the Pacific,0.013
China,West,East Asia and the Pacific,0.034
Cote d'Ivoire,Centre,Sub-Saharan Africa,0.359
Cote d'Ivoire,Centre-Est,Sub-Saharan Africa,0.297
Cote d'Ivoire,Centre-Nord,Sub-Saharan Africa,0.322
Cote d'Ivoire,Centre-Ouest,Sub-Saharan Africa,0.334
Cote d'Ivoire,Nord,Sub-Saharan Africa,0.477
Cote d'Ivoire,Nord-Est,Sub-Saharan Africa,0.374
